,Nazwa pliku,Opis zawartosci zdjecia,Id zdjecia,Szerokosc,Wysokosc,Sredni kolor,Mediana jasnosci po przekonwertowaniu na odcienie szarosci,Pozioma wspolrzedna najjasnieszego pixela po przekonwertowaniu na odcienie szarosci,Pionowa wspolrzedna najjasniejszego pixela po przekonwertowaniu na odcienie szarosci
0,stock-photo-adult-and-child-hands-holding-red-heart-heart-health-donation-happy-volunteer-charity-csr-1487364161.jpg,adult and child hands holding red heart heart health donation happy volunteer charity csr,1487364161,1500,1101,"[156.17867938237976, 164.24507296397212, 158.7405619134121]",0.7717121568627452,81,1031
1,stock-photo-architect-team-having-a-discussion-1380294050.jpg,architect team having a discussion,1380294050,1500,945,"[105.74683245149909, 96.59588924162264, 89.41376084656078]",0.29701058823529414,899,32
2,stock-photo-close-up-of-two-businessmen-shaking-hands-in-modern-city-with-double-exposure-of-business-people-1452180959.jpg,close up of two businessmen shaking hands in modern city with double exposure of business people,1452180959,1500,1101,"[161.04649167423557, 170.04460006055103, 188.63827974568594]",0.7458211764705882,440,728
3,stock-photo-close-up-top-view-of-young-business-people-putting-their-hands-together-stack-of-hands-unity-and-1498583432.jpg,close up top view of young business people putting their hands together stack of hands unity and,1498583432,1500,940,"[150.33435106382976, 159.32835744680835, 172.64649645390068]",0.720221568627451,839,68
4,stock-photo-closeup-view-of-woman-with-drawn-flowers-on-green-chalkboard-space-for-text-teacher-s-day-1508523470.jpg,closeup view of woman with drawn flowers on green chalkboard space for text teacher s day,1508523470,1500,1101,"[35.411847411444114, 72.4248301544052, 56.331945504087216]",0.2218450980392157,977,314
5,stock-photo-happy-dussehra-greeting-card-green-leaf-rice-1497972686.jpg,happy dussehra greeting card green leaf rice,1497972686,1500,1101,"[208.36312079927356, 156.80598910081744, 33.11795458673936]",0.6984478431372548,81,1031
6,stock-photo-happy-family-mother-father-children-son-and-daughter-on-nature-on-sunset-1438256546.jpg,happy family mother father children son and daughter on nature on sunset,1438256546,1500,1024,"[173.92403125, 153.86528190104167, 121.89294791666667]",0.6278150980392156,719,6
7,stock-photo-hurricane-dorian-in-the-carribean-sea-on-its-way-to-us-mainland-in-august-elements-of-this-1492317566.jpg,hurricane dorian in the carribean sea on its way to us mainland in august elements of this,1492317566,1500,1101,"[82.22452861035414, 89.27925340599452, 102.35578383287904]",0.23763764705882354,426,113
8,stock-photo-lipstick-smear-smudge-swatch-isolated-on-white-background-cream-makeup-texture-bright-red-color-1471402472.jpg,lipstick smear smudge swatch isolated on white background cream makeup texture bright red color,1471402472,1500,915,"[217.76155482695813, 170.25322040072874, 172.82903023679435]",1.0,0,0
9,stock-photo-nature-shots-for-the-pros-1506854450.jpg,nature shots for the pros,1506854450,1500,1101,"[90.36532303966084, 102.58370330003022, 109.11656433545274]",0.3064674509803922,81,1031
10,stock-photo-nice-attractive-stylish-cheerful-cheery-positive-carefree-guys-ladies-having-fun-hanging-out-best-1436812790.jpg,nice attractive stylish cheerful cheery positive carefree guys ladies having fun hanging out best,1436812790,1500,1101,"[65.12978201634888, 68.12492340296701, 116.95715531335152]",0.1813078431372549,81,1031
11,stock-photo-october-breast-cancer-awareness-month-woman-in-pink-t-shirt-with-hand-holding-pink-ribbon-for-1505793707.jpg,october breast cancer awareness month woman in pink t shirt with hand holding pink ribbon for,1505793707,1500,760,"[191.06871403508796, 137.74961228070197, 156.71053596491228]",0.6142796078431373,80,690
12,stock-photo-skeleton-zombie-hands-rising-out-of-a-cemetery-halloween-background-1495866737.jpg,skeleton zombie hands rising out of a cemetery halloween background,1495866737,1500,790,"[79.13039831223632, 97.81092911392406, 104.23222278481008]",0.3415494117647059,1272,485
13,stock-photo-sky-background-on-sunset-nature-abstract-composition-1484678003.jpg,sky background on sunset nature abstract composition,1484678003,1500,1080,"[127.06730432098755, 165.4429654320987, 187.59124567901216]",0.6408423529411765,948,892
14,stock-photo-smart-city-and-abstract-dot-point-connect-with-gradient-line-and-aesthetic-intricate-wave-line-1499306735.jpg,smart city and abstract dot point connect with gradient line and aesthetic intricate wave line,1499306735,1500,724,"[52.552196132596755, 63.77828821362814, 83.82448250460405]",0.19040196078431373,800,75
15,stock-photo-suicide-prevention-and-childhood-cancer-awareness-yellow-ribbon-for-supporting-people-living-and-1482160559.jpg,suicide prevention and childhood cancer awareness yellow ribbon for supporting people living and,1482160559,1500,1101,"[207.4990281562212, 200.04516742355426, 189.81397214653342]",0.9269266666666667,4,0
16,stock-photo-top-view-of-beautiful-young-woman-sleeping-cozily-on-a-bed-in-his-bedroom-at-night-blue-nightly-1427337869.jpg,top view of beautiful young woman sleeping cozily on a bed in his bedroom at night blue nightly,1427337869,1500,945,"[32.2117008818342, 44.92429770723105, 53.38761481481474]",0.13974000000000003,80,875
17,stock-photo-view-of-moon-limb-with-earth-rising-on-the-horizon-footprints-as-an-evidence-of-people-being-there-1454730908.jpg,view of moon limb with earth rising on the horizon footprints as an evidence of people being there,1454730908,1500,1101,"[60.3454211323039, 61.54443960036332, 61.12141992128358]",0.1813078431372549,872,32
18,stock-photo-young-joyful-casual-family-of-two-kids-and-couple-sitting-on-sofa-and-watching-funny-video-or-1499295359.jpg,young joyful casual family of two kids and couple sitting on sofa and watching funny video or,1499295359,1500,1101,"[184.20725582803502, 165.12994489857692, 150.26161368452915]",0.7235309803921568,90,0
19,stock-photo-zombie-rising-out-of-a-graveyard-cemetery-in-spooky-dark-night-full-moon-holiday-event-halloween-1492357433.jpg,zombie rising out of a graveyard cemetery in spooky dark night full moon holiday event halloween,1492357433,1500,1101,"[47.47132788374204, 64.83295852255517, 81.42522858007877]",0.18424823529411763,276,111
